iter	Passed	Remaining
0	158	158774
1	167	83408
2	173	57660
3	178	44399
4	183	36426
5	186	30964
6	190	27002
7	193	23995
8	197	21720
9	200	19847
10	203	18322
11	207	17044
12	210	15980
13	213	15059
14	216	14245
15	219	13521
16	222	12884
17	226	12358
18	229	11870
19	233	11417
20	235	10991
21	238	10618
22	242	10297
23	245	9990
24	248	9690
25	251	9414
26	253	9153
27	257	8934
28	260	8731
29	263	8523
30	266	8333
31	269	8152
32	272	7994
33	276	7844
34	279	7694
35	282	7552
36	285	7418
37	288	7311
38	291	7195
39	295	7080
40	297	6963
41	300	6857
42	304	6780
43	307	6683
44	310	6590
45	313	6497
46	316	6408
47	319	6330
48	322	6252
49	325	6175
50	327	6097
51	330	6021
52	333	5955
53	336	5892
54	339	5832
55	342	5770
56	344	5704
57	347	5644
58	350	5595
59	353	5544
60	356	5494
61	359	5445
62	363	5399
63	366	5363
64	369	5320
65	372	5275
66	375	5232
67	378	5188
68	381	5153
69	385	5117
70	388	5087
71	391	5046
72	394	5004
73	396	4963
74	400	4938
75	403	4904
76	406	4871
77	409	4837
78	411	4801
79	415	4776
80	418	4749
81	421	4717
82	424	4684
83	426	4652
84	429	4625
85	432	4598
86	435	4572
87	438	4544
88	441	4518
89	444	4491
90	447	4472
91	450	4449
92	453	4425
93	456	4398
94	458	4371
95	462	4356
96	466	4339
97	469	4321
98	472	4300
99	475	4278
100	478	4263
101	482	4246
102	485	4226
103	488	4206
104	491	4189
105	495	4182
106	499	4165
107	501	4146
108	504	4127
109	508	4110
110	512	4102
111	515	4083
112	517	4065
113	520	4046
114	523	4028
115	526	4015
116	530	4000
117	532	3982
118	535	3966
119	538	3950
120	542	3940
121	545	3925
122	548	3910
123	551	3895
124	554	3880
125	557	3869
126	560	3854
127	563	3838
128	566	3823
129	568	3807
130	571	3792
131	576	3788
132	579	3776
133	583	3768
134	585	3754
135	589	3742
136	592	3730
137	595	3718
138	597	3703
139	600	3689
140	603	3676
141	606	3666
142	609	3652
143	612	3639
144	615	3626
145	617	3613
146	620	3601
147	623	3591
148	626	3578
149	629	3565
150	632	3553
151	634	3542
152	638	3533
153	641	3522
154	644	3511
155	646	3499
156	649	3487
157	653	3482
158	656	3471
159	659	3461
160	662	3450
161	664	3439
162	667	3429
163	671	3421
164	673	3410
165	676	3399
166	679	3389
167	682	3380
168	687	3379
169	690	3372
170	693	3362
171	697	3359
172	701	3352
173	704	3343
174	707	3335
175	710	3325
176	713	3317
177	716	3310
178	719	3301
179	723	3293
180	726	3285
181	729	3277
182	732	3272
183	736	3266
184	739	3258
185	742	3250
186	745	3241
187	749	3235
188	752	3227
189	755	3220
190	758	3214
191	762	3207
192	765	3199
193	767	3190
194	770	3180
195	773	3171
196	775	3162
197	778	3154
198	782	3150
199	786	3146
200	789	3138
201	792	3130
202	796	3126
203	799	3119
204	802	3111
205	805	3103
206	808	3096
207	811	3088
208	814	3082
209	817	3075
210	820	3067
211	822	3058
212	825	3051
213	829	3045
214	832	3038
215	834	3029
216	837	3021
217	840	3014
218	843	3006
219	846	3000
220	849	2993
221	851	2985
222	854	2977
223	857	2969
224	860	2964
225	863	2958
226	866	2951
227	869	2944
228	872	2937
229	875	2929
230	878	2925
231	881	2919
232	884	2913
233	887	2906
234	890	2898
235	893	2893
236	896	2887
237	899	2880
238	902	2873
239	905	2866
240	908	2860
241	911	2853
242	913	2847
243	916	2840
244	919	2833
245	922	2828
246	926	2823
247	929	2817
248	932	2812
249	935	2806
250	938	2800
251	942	2796
252	945	2790
253	947	2784
254	950	2777
255	953	2771
256	957	2766
257	959	2760
258	962	2753
259	965	2747
260	967	2740
261	970	2734
262	974	2731
263	977	2726
264	980	2720
265	983	2714
266	986	2708
267	990	2704
268	993	2699
269	996	2693
270	999	2688
271	1002	2682
272	1005	2677
273	1008	2672
274	1011	2666
275	1014	2660
276	1016	2654
277	1020	2649
278	1023	2644
279	1026	2638
280	1029	2633
281	1032	2628
282	1034	2621
283	1038	2617
284	1041	2611
285	1044	2606
286	1046	2600
287	1049	2595
288	1053	2590
289	1056	2585
290	1058	2579
291	1061	2574
292	1064	2568
293	1068	2565
294	1071	2559
295	1073	2554
296	1076	2548
297	1080	2544
298	1083	2539
299	1086	2535
300	1089	2530
301	1092	2524
302	1095	2519
303	1098	2514
304	1101	2510
305	1104	2504
306	1107	2499
307	1110	2493
308	1112	2488
309	1116	2485
310	1119	2480
311	1122	2476
312	1125	2470
313	1128	2465
314	1131	2461
315	1134	2456
316	1137	2451
317	1140	2445
318	1143	2440
319	1146	2436
320	1149	2432
321	1152	2426
322	1155	2422
323	1158	2416
324	1161	2412
325	1164	2408
326	1168	2404
327	1171	2399
328	1174	2395
329	1177	2390
330	1181	2388
331	1184	2383
332	1187	2378
333	1190	2373
334	1193	2368
335	1196	2364
336	1199	2359
337	1202	2354
338	1204	2349
339	1207	2344
340	1210	2339
341	1213	2335
342	1216	2330
343	1219	2325
344	1222	2320
345	1224	2314
346	1228	2311
347	1231	2306
348	1233	2301
349	1236	2296
350	1239	2291
351	1242	2287
352	1245	2283
353	1248	2278
354	1251	2273
355	1254	2268
356	1257	2264
357	1260	2260
358	1263	2255
359	1266	2250
360	1269	2247
361	1272	2242
362	1275	2238
363	1278	2234
364	1282	2230
365	1285	2226
366	1287	2221
367	1291	2217
368	1294	2213
369	1298	2210
370	1301	2206
371	1304	2201
372	1307	2198
373	1310	2193
374	1313	2189
375	1316	2184
376	1319	2179
377	1322	2176
378	1326	2172
379	1329	2168
380	1332	2165
381	1336	2161
382	1340	2158
383	1343	2155
384	1346	2151
385	1349	2146
386	1352	2142
387	1356	2139
388	1359	2135
389	1362	2130
390	1365	2126
391	1367	2121
392	1372	2120
393	1377	2118
394	1380	2115
395	1384	2111
396	1387	2107
397	1391	2104
398	1394	2100
399	1397	2095
400	1400	2091
401	1403	2088
402	1406	2084
403	1410	2080
404	1413	2075
405	1415	2071
406	1419	2068
407	1422	2063
408	1425	2060
409	1428	2055
410	1431	2051
411	1434	2047
412	1438	2044
413	1441	2040
414	1444	2036
415	1447	2032
416	1451	2029
417	1454	2025
418	1458	2022
419	1461	2017
420	1464	2013
421	1467	2010
422	1471	2006
423	1474	2002
424	1476	1997
425	1479	1993
426	1483	1990
427	1486	1987
428	1489	1983
429	1493	1979
430	1496	1975
431	1500	1972
432	1503	1968
433	1506	1964
434	1509	1960
435	1513	1957
436	1516	1953
437	1519	1949
438	1522	1945
439	1525	1942
440	1528	1937
441	1533	1935
442	1536	1931
443	1539	1927
444	1542	1923
445	1545	1919
446	1548	1915
447	1551	1911
448	1555	1908
449	1558	1904
450	1561	1900
451	1564	1897
452	1567	1893
453	1571	1889
454	1574	1885
455	1578	1882
456	1581	1879
457	1584	1875
458	1587	1871
459	1590	1867
460	1594	1864
461	1597	1860
462	1600	1855
463	1603	1851
464	1606	1847
465	1609	1844
466	1612	1840
467	1615	1836
468	1618	1832
469	1621	1828
470	1624	1824
471	1627	1820
472	1630	1816
473	1633	1812
474	1636	1808
475	1639	1804
476	1642	1801
477	1645	1797
478	1648	1793
479	1651	1789
480	1654	1785
481	1657	1781
482	1660	1777
483	1663	1773
484	1666	1769
485	1669	1765
486	1672	1761
487	1676	1758
488	1679	1754
489	1681	1750
490	1685	1746
491	1687	1742
492	1691	1739
493	1694	1735
494	1697	1731
495	1699	1727
496	1702	1723
497	1706	1719
498	1709	1716
499	1712	1712
500	1715	1708
501	1717	1704
502	1721	1700
503	1724	1697
504	1727	1693
505	1730	1689
506	1733	1685
507	1736	1682
508	1739	1678
